feature,importance
LAST_INACTIVE_TIME,1271
AVG_LTV_1_CONTRACTS,1072
AVG_TIME_BETWEEN_4_CONTRACTS,881
CUSTOMER_AGE,852
AVG_TIME_BETWEEN_3_CONTRACTS,845
MAX_DPD_12M,807
AVG_LTV_2_CONTRACTS,702
AVG_TIME_BETWEEN_2_CONTRACTS,645
AVG_LTV_3_CONTRACTS,586
MAX_DPD_6M,368
N_DPD_1D_12M,302
IS_ACTIVE_CUSTOMER,301
ASSET_TYPE,271
MAX_DPD_3M,266
CUSTOMER_GENDER,146
NUM_CONTRACT_12M,123
N_DPD_1D_6M,108
NUM_RETURN_CONTRACT_12M,70
N_DPD_30D_12M,47
NUM_CONTRACT_6M,35
N_DPD_1D_3M,31
NUM_CONTRACT_3M,15
NUM_RETURN_CONTRACT_3M,15
N_DPD_30D_6M,14
NUM_TOPUP_CONTRACT_12M,6
N_DPD_30D_3M,6
NUM_TOPUP_CONTRACT_6M,5
NUM_RETURN_CONTRACT_6M,4
NUM_TOPUP_CONTRACT_3M,0
NUM_ACTIVE_CONTRACT,0
