CUSTOMER_CODE,LOAN_ID,AGE_AT_CUTOFF,INCOME_M,REGION,ASSET_TYPE,DIGITAL_ACTIVITY_SCORE,SCORING_DATE
22913082,3301043,45,12.73588629,HCM,XM,23.90529002,20260101
91528755,5585556,37,14.83168152,HCM,XM,0.430491437,20260101
18431900,9150394,42,,MN,XM,30.81985961,20260101
37458122,4879051,44,5.57284691,MT,XM,32.05924165,20260101
69812031,7601934,33,9.294420166,MN,XM,24.87323514,20260101
32398995,9404501,18,14.34307141,MT,OT,13.55516356,20260101
92019868,7247586,46,12.87490727,MB,XM,47.7862391,20260101
40915964,6489658,7,9.895281683,MB,OT,46.40385185,20260101
66491386,2796853,46,,MT,OT,24.85355659,20260101
90130638,2989152,34,,MN,XM,24.85355659,20260101
55445946,9140557,37,,HCM,XM,41.99726857,20260101
48940050,8595088,34,,MT,OT,38.0315337,20260101
45870201,4003650,42,,HCM,OT,7.472464095,20260101
70062970,7570928,39,,MN,XM,8.043246839,20260101
42515168,2254052,39,,HN,OT,59.98886944,20260101
58820939,6640260,42,,MB,XM,19.33621326,20260101
41028600,8123132,28,,MT,XM,,20260101
61539075,2308321,41,,MN,XM,,20260101
16547914,7843495,30,,MB,OT,,20260101
28014638,8255960,18,,MT,XM,,20260101
95803638,4311907,33,5.76460736,MN,XM,,20260101
49385676,9027761,60,10.13033001,HCM,OT,,20260101
36678842,9818427,,25.35532837,MT,XM,,20260101
91966824,8760495,,13.85585571,HCM,XM,,20260101
36143652,7900202,,14.56753567,MN,XM,,20260101
47171643,3113612,,5.553126293,MT,XM,,20260101
42456268,9456038,,8.337826866,MT,XM,,20260101
78019005,4160688,,12.33839451,HCM,XM,32.04084954,20260101
77729038,6034155,,,MN,OT,39.10196042,20260101
67084685,4949734,,6.468798108,MT,XM,23.92213827,20260101
24740762,7510426,,15.08616897,HN,XM,26.82979454,20260101
77948933,9780837,,7.298484554,HCM,XM,59.9090826,20260101
39065829,8134451,,17.26167978,HN,OT,31.33244019,20260101
99255332,2214697,,9.51905362,MB,XM,20.9817227,20260101
96362156,2067699,,4.9924834,MT,XM,16.22113259,20260101
16596656,2884265,42,7.132141061,MN,XM,12.56136876,20260101
66412955,7525562,63,7.442458166,MN,OT,53.14856659,20260101
82842400,5577284,27,13.08395539,HCM,OT,55.82864478,20260101
