CUSTOMER_CODE,LOAN_ID,AGE_AT_CUTOFF,INCOME_M,REGION,ASSET_TYPE,DIGITAL_ACTIVITY_SCORE,SCORING_DATE
18032585,7953123,39,8.606163286,MN,OT,57.274,20251201
79656043,9290673,33,12.31885235,HN,OT,15.179,20251201
49499059,5859243,42,9.899700059,MT,XM,15.327,20251201
48971370,1585465,36,4.71549245,HN,XM,19.818,20251201
87273811,5824558,50,7.00077339,MB,XM,12.425,20251201
17735107,5151183,30,2.993764061,MN,XM,46.021,20251201
72763121,7470005,34,10.97008472,MT,OT,15.905,20251201
18475961,3238263,33,12.19509883,HCM,XM,9.308,20251201
57383107,7278833,55,7.031308043,MT,OT,62.655,20251201
97806010,4974882,36,9.437871133,MB,XM,31.418,20251201
76217712,7030518,33,6.144468894,MB,XM,21.223,20251201
78502572,4777918,19,18.74233429,HN,XM,16.971,20251201
74572954,4439211,30,5.257248165,MT,XM,25.787,20251201
80745786,2928375,43,8.559729624,MT,OT,26.518,20251201
56190391,8456882,43,5.224967557,HN,OT,40.416,20251201
21530226,1618080,32,11.24582557,HN,XM,19.261,20251201
85577339,3125825,33,16.80515002,MB,XM,33.17,20251201
50534733,4840043,55,3.541651758,MB,XM,7.752,20251201
55031671,2401587,62,13.86814263,HCM,XM,28.46,20251201
43371821,9250520,48,22.60926515,MN,XM,34.21,20251201
26429467,4106459,52,10.66606619,MT,XM,52.315,20251201
93408848,3181597,54,7.136400462,HCM,XM,18.211,20251201
80341070,3284480,58,9.811421193,MN,OT,53.253,20251201
67947860,2725101,35,7.612382004,MT,OT,3.166,20251201
46217292,6968641,30,26.70189971,HCM,OT,44.216,20251201
84048544,5331505,55,15.1815946,MN,XM,52.413,20251201
59088620,3079160,29,15.68673734,MB,XM,23.475,20251201
49907277,8859780,29,29.37386914,MB,XM,41.576,20251201
50541359,6908407,29,19.58682159,HN,XM,48.369,20251201
30451484,4626138,37,9.411093853,MN,XM,20.949,20251201
18292232,5619004,20,10.12760215,HCM,OT,12.456,20251201
59912630,6905926,25,32.54020229,HCM,XM,24.322,20251201
15743552,2372050,32,6.909803091,MN,XM,41.297,20251201
87246215,8275345,27,9.177663213,HN,XM,22.445,20251201
84486804,3325566,48,6.026285933,MN,XM,29.145,20251201
34908372,1266295,38,4.028760679,HCM,XM,37.109,20251201
66849795,5695540,43,6.441149479,HCM,XM,39.645,20251201
24870616,8887817,42,6.504661579,MT,OT,21.464,20251201
78227895,3776161,36,7.315781355,MB,XM,35.129,20251201
73047066,4584264,47,13.58163176,HCM,XM,45.556,20251201
41907336,6363567,42,9.940707475,HN,XM,15.956,20251201
16112800,3095493,35,16.57817654,HCM,XM,15.16,20251201
97362821,8380655,23,10.7840474,MN,OT,13.435,20251201
50111873,3655703,43,10.9365877,HN,XM,17.627,20251201
90380900,2950134,27,8.64437701,MN,OT,35.898,20251201
71012710,1856054,41,26.47145885,MB,OT,25.983,20251201
